Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Mouse,Taste transduction,4/88,0.8023899514459958,0.9763059902752446,0,0,0.7201465201465201,0.158547865144213,CHRM3;PDE1B;HTR1F;GABRA5
KEGG_2019_Mouse,Cortisol synthesis and secretion,3/69,0.8090887764487829,0.9763059902752446,0,0,0.6875183877611062,0.1456484548258376,NR4A1;CYP21A1;ADCY3
KEGG_2019_Mouse,Steroid hormone biosynthesis,4/89,0.8094370752616161,0.9763059902752446,0,0,0.7116361038342462,0.1504514305529,CYP2D9;SULT1E1;CYP21A1;CYP7B1
KEGG_2019_Mouse,Folate biosynthesis,1/26,0.8105861542875646,0.9763059902752446,0,0,0.6053634894991923,0.1271249076199486,GPHN
KEGG_2019_Mouse,Progesterone-mediated oocyte maturation,4/90,0.8162776754503481,0.97742511205105,0,0,0.7033236041803973,0.1427751793057439,CDC16;ADCY3;CPEB2;IGF1R
KEGG_2019_Mouse,Butanoate metabolism,1/27,0.8223355186259755,0.97742511205105,0,0,0.5820492108860444,0.1138527799142314,EHHADH
KEGG_2019_Mouse,Phototransduction,1/27,0.8223355186259755,0.97742511205105,0,0,0.5820492108860444,0.1138527799142314,GUCY2F
KEGG_2019_Mouse,Amyotrophic lateral sclerosis (ALS),2/52,0.8409343273054936,0.9920818060663648,0,0,0.6050444624090542,0.1048189378229333,APAF1;BCL2L1
KEGG_2019_Mouse,Drug metabolism,5/114,0.8419882486910106,0.9920818060663648,0,0,0.6933519694288731,0.1192490652819773,ALDH1A3;GSTP2;IMPDH1;GSTP1;GSTA1
KEGG_2019_Mouse,Endocytosis,13/269,0.8571566544659395,0.9999939790177436,0,0,0.766482080954323,0.1181413959860951,PDGFRA;SH3KBP1;CXCR4;CBLB;IL2RG;IGF1R;CYTH3;RAB31;CYTH4;UBB;GRK5;CXCR2;MDM2
